______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:15:33 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'name': 'Google Chrome Helper (Renderer)', 'pid': 64533, 'username': 'shubhamwalhekar'} 
{'name': 'routined', 'pid': 64785, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 64818, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper', 'pid': 64819, 'username': 'shubhamwalhekar'} 
{'name': 'CommCenter', 'pid': 64901, 'username': 'shubhamwalhekar'} 
{'name': 'ospredictiond', 'pid': 64922, 'username': 'root'} 
{'name': 'triald', 'pid': 64923, 'username': 'shubhamwalhekar'} 
{'name': 'osanalyticshelpe', 'pid': 64924, 'username': 'root'} 
{'name': 'replayd', 'pid': 64925, 'username': 'shubhamwalhekar'} 
{'name': 'wifip2pd', 'pid': 64930, 'username': 'root'} 
{'name': 'Keychain Circle Notification', 'pid': 64934, 'username': 'shubhamwalhekar'} 
{'name': 'com.apple.CodeSi', 'pid': 64935, 'username': 'root'} 
{'name': 'idleassetsd', 'pid': 64936, 'username': 'root'} 
{'name': 'online-auth-agen', 'pid': 64939, 'username': 'root'} 
{'name': 'intelligentroutingd', 'pid': 64940, 'username': 'shubhamwalhekar'} 
{'name': 'containermanagerd', 'pid': 64941, 'username': 'shubhamwalhekar'} 
{'name': 'bluetoothuserd', 'pid': 64942, 'username': 'shubhamwalhekar'} 
{'name': 'audioaccessoryd', 'pid': 64943, 'username': 'shubhamwalhekar'} 
{'name': 'callservicesd', 'pid': 64944, 'username': 'shubhamwalhekar'} 
{'name': 'tccd', 'pid': 64945, 'username': 'shubhamwalhekar'} 
{'name': 'com.apple.FaceTime.FTConversationService', 'pid': 64946, 'username': 'shubhamwalhekar'} 
{'name': 'sandboxd', 'pid': 64947, 'username': 'root'} 
{'name': 'contactsd', 'pid': 64948, 'username': 'shubhamwalhekar'} 
{'name': 'dmd', 'pid': 64949, 'username': 'shubhamwalhekar'} 
{'name': 'ManagedSettingsAgent', 'pid': 64950, 'username': 'shubhamwalhekar'} 
{'name': 'fileproviderd', 'pid': 64951, 'username': 'shubhamwalhekar'} 
{'name': 'com.apple.quicklook.ThumbnailsAgent', 'pid': 64957, 'username': 'shubhamwalhekar'} 
{'name': 'ThumbnailExtension_macOS', 'pid': 64958, 'username': 'shubhamwalhekar'} 
{'name': 'secinitd', 'pid': 64959, 'username': 'shubhamwalhekar'} 
{'name': 'extensionkitservice', 'pid': 64960, 'username': 'shubhamwalhekar'} 
{'name': 'ScreenTimeWidgetExtension', 'pid': 64961, 'username': 'shubhamwalhekar'} 
{'name': 'NewsToday2', 'pid': 64962, 'username': 'shubhamwalhekar'} 
{'name': 'knowledge-agent', 'pid': 64963, 'username': 'shubhamwalhekar'} 
{'name': 'com.apple.geod', 'pid': 64964, 'username': 'shubhamwalhekar'} 
{'name': 'com.apple.geod', 'pid': 64965, 'username': '_cmiodalassistants'} 
{'name': 'com.apple.geod', 'pid': 64966, 'username': '_locationd'} 
{'name': 'com.apple.geod', 'pid': 64967, 'username': 'root'} 
